time,deltaTimeMs,angle,position,angleTarget,angleErr,positionTarget,positionErr,angleCmd,positionCmd,motorCmd,actualMotorCmd
139.03939867019653,5.128145217895508,3092,193,3086,6.0,0,166.01546424310305,-3546.0,4429.507585917136,884,884
139.04409837722778,4.69970703125,3097,198,3086,6.0,0,166.01546424310305,-3546.0,4429.507585917136,884,884
139.04929399490356,5.19561767578125,3103,202,3086,17.0,0,166.01546424310305,-14948.245932452275,4429.507585917136,-6839,-6839
139.05441427230835,5.120277404785156,3098,206,3086,12.0,0,186.00773212155153,-4831.380294281989,5844.866713999905,1013,1013
139.05925464630127,4.840373992919922,3099,207,3086,12.0,0,186.00773212155153,-4831.380294281989,5844.866713999905,1013,1013
139.0643274784088,5.072832107543945,3102,208,3086,16.0,0,186.00773212155153,-11281.410304084222,5844.866713999905,-5437,-5437
139.07507848739624,10.751008987426758,3102,208,3086,16.0,0,186.00773212155153,-9456.0,5844.866713999905,-3611,-3611
139.07527017593384,0.19168853759765625,3098,208,3086,16.0,0,186.00773212155153,-9456.0,5844.866713999905,-3611,-3611
139.07926726341248,3.9970874786376953,3109,205,3086,16.0,0,186.00773212155153,-9456.0,5844.866713999905,-3611,-3611
139.08404636383057,4.77910041809082,3099,201,3086,13.0,0,193.50386606077575,-6229.797641307059,4010.9290856707084,-2219,-2219
139.08914375305176,5.097389221191406,3102,197,3086,16.0,0,193.50386606077575,-10818.462173994387,4010.9290856707084,-6808,-6808
139.09442043304443,5.276679992675781,3096,193,3086,10.0,0,193.50386606077575,-3277.662996566058,4010.9290856707084,733,733
139.0991153717041,4.694938659667969,3094,186,3086,10.0,0,193.50386606077575,-3277.662996566058,4010.9290856707084,733,733
139.10443758964539,5.32221794128418,3096,181,3086,10.0,0,193.50386606077575,-5910.0,4010.9290856707084,-1899,-1899
139.10951924324036,5.081653594970703,3092,176,3086,6.0,0,184.75193303038787,-1723.758513652998,1157.0505584757718,-567,-567
139.11419200897217,4.672765731811523,3077,171,3086,6.0,0,184.75193303038787,-1723.758513652998,1157.0505584757718,-567,-567
139.11925888061523,5.066871643066406,3096,166,3086,10.0,0,184.75193303038787,-7737.557643515905,1157.0505584757718,-6581,-6581
139.1243224143982,5.063533782958984,3091,162,3086,5.0,0,184.75193303038787,-669.0470477446088,1157.0505584757718,488,488
139.12909197807312,4.769563674926758,3085,157,3086,5.0,0,184.75193303038787,-669.0470477446088,1157.0505584757718,488,488
139.1342315673828,5.139589309692383,3091,151,3086,5.0,0,184.75193303038787,-2955.0,1157.0505584757718,-1798,-1798
139.1393256187439,5.094051361083984,3092,147,3086,6.0,0,165.87596651519394,-4000.451640924834,-753.2948204952095,-4754,-4754
139.1440930366516,4.767417907714844,3085,142,3086,6.0,0,165.87596651519394,-4000.451640924834,-753.2948204952095,-4754,-4754
139.14924335479736,5.150318145751953,3088,136,3086,2.0,0,165.87596651519394,615.9471826682716,-753.2948204952095,-137,-137
139.1543345451355,5.091190338134766,3084,130,3086,-2.0,0,165.87596651519394,3000.828090287534,-753.2948204952095,2248,2248
139.1592240333557,4.889488220214844,3079,124,3086,-2.0,0,165.87596651519394,3000.828090287534,-753.2948204952095,2248,2248
139.16436433792114,5.1403045654296875,3085,120,3086,-1.0,0,142.93798325759695,140.63758070500927,-1702.642176476009,-1562,-1562
139.16914772987366,4.783391952514648,3081,116,3086,-1.0,0,142.93798325759695,140.63758070500927,-1702.642176476009,-1562,-1562
139.1742126941681,5.064964294433594,3078,113,3086,-8.0,0,142.93798325759695,7927.430254189418,-1702.642176476009,6225,6225
139.17938566207886,5.172967910766602,3081,110,3086,-5.0,0,142.93798325759695,1612.4438272572245,-1702.642176476009,-90,-90
139.18427848815918,4.892826080322266,3077,109,3086,-5.0,0,142.93798325759695,1612.4438272572245,-1702.642176476009,-90,-90
139.18933868408203,5.0601959228515625,3078,109,3086,-8.0,0,142.93798325759695,6100.476502073125,-1702.642176476009,4398,4398
139.19443941116333,5.100727081298828,3082,109,3086,-4.0,0,125.96899162879848,548.5725418341592,-997.6606692977775,-449,-449
139.1992461681366,4.806756973266602,3086,110,3086,-4.0,0,125.96899162879848,548.5725418341592,-997.6606692977775,-449,-449
139.20441341400146,5.167245864868164,3082,111,3086,-4.0,0,125.96899162879848,2364.0,-997.6606692977775,1366,1366
139.209557056427,5.143642425537109,3082,113,3086,-4.0,0,125.96899162879848,2364.0,-997.6606692977775,1366,1366
139.21431374549866,4.756689071655273,3080,113,3086,-4.0,0,125.96899162879848,2364.0,-997.6606692977775,1366,1366
139.21930503845215,4.991292953491211,3075,115,3086,-11.0,0,125.96899162879848,9747.653753045139,-997.6606692977775,6839,6839
139.22445440292358,5.149364471435547,3082,116,3086,-4.0,0,120.98449581439924,-782.9902916936753,890.3572858860822,107,107
139.22939538955688,4.940986633300781,3086,119,3086,-4.0,0,120.98449581439924,-782.9902916936753,890.3572858860822,107,107
139.23446989059448,5.074501037597656,3080,121,3086,-6.0,0,120.98449581439924,4458.404976508175,890.3572858860822,5349,5349
139.2396001815796,5.130290985107422,3084,124,3086,-2.0,0,120.98449581439924,-622.9658444093316,890.3572858860822,267,267
139.2444441318512,4.843950271606445,3079,128,3086,-2.0,0,120.98449581439924,-622.9658444093316,890.3572858860822,267,267
139.24953031539917,5.086183547973633,3082,132,3086,-4.0,0,126.49224790719961,3274.3092635822436,2669.6860568390784,5944,5944
139.25435853004456,4.828214645385742,3091,136,3086,-4.0,0,126.49224790719961,3274.3092635822436,2669.6860568390784,5944,5944
139.25965881347656,5.300283432006836,3084,141,3086,-2.0,0,126.49224790719961,308.46180918537175,2669.6860568390784,2978,2978
139.2646462917328,4.987478256225586,3082,147,3086,-2.0,0,126.49224790719961,308.46180918537175,2669.6860568390784,2978,2978
139.26949048042297,4.844188690185547,3090,154,3086,4.0,0,126.49224790719961,-5231.353211930308,2669.6860568390784,-2562,-2562
139.27448320388794,4.99272346496582,3091,161,3086,4.0,0,126.49224790719961,-5231.353211930308,2669.6860568390784,-2562,-2562
139.27969455718994,5.211353302001953,3088,167,3086,2.0,0,146.7461239535998,-293.5551505169732,5280.233001021732,4987,4987
139.2844944000244,4.799842834472656,3100,171,3086,2.0,0,146.7461239535998,-293.5551505169732,5280.233001021732,4987,4987
139.28964805603027,5.153656005859375,3093,176,3086,7.0,0,146.7461239535998,-6382.978386380459,5280.233001021732,-1103,-1103
139.29477548599243,5.127429962158203,3096,182,3086,10.0,0,146.7461239535998,-7264.479739607552,5280.233001021732,-1984,-1984
139.29948210716248,4.706621170043945,3103,188,3086,10.0,0,146.7461239535998,-7264.479739607552,5280.233001021732,-1984,-1984
139.30466175079346,5.179643630981445,3099,193,3086,13.0,0,146.7461239535998,-9023.825835673188,5280.233001021732,-3744,-3744
139.30976605415344,5.104303359985352,3099,196,3086,13.0,0,171.3730619767999,-7683.0,6403.757300227957,-1279,-1279
139.31457805633545,4.812002182006836,3111,198,3086,13.0,0,171.3730619767999,-7683.0,6403.757300227957,-1279,-1279
139.31949877738953,4.920721054077148,3103,200,3086,17.0,0,171.3730619767999,-11928.838027036194,6403.757300227957,-5525,-5525
139.32431888580322,4.820108413696289,3101,200,3086,17.0,0,171.3730619767999,-11928.838027036194,6403.757300227957,-5525,-5525
139.3292407989502,4.921913146972656,3104,199,3086,18.0,0,171.3730619767999,-11108.345560937803,6403.757300227957,-4705,-4705
139.3343551158905,5.114316940307617,3102,197,3086,16.0,0,171.3730619767999,-8550.698264882756,6403.757300227957,-2147,-2147
139.3395218849182,5.166769027709961,3103,193,3086,17.0,0,182.18653098839997,-10495.055639333672,4287.708492268732,-6207,-6207
139.34428572654724,4.76384162902832,3102,188,3086,17.0,0,182.18653098839997,-10495.055639333672,4287.708492268732,-6207,-6207
139.34931302070618,5.027294158935547,3095,183,3086,9.0,0,182.18653098839997,-1635.1097372664326,4287.708492268732,2653,2653
139.35419130325317,4.87828254699707,3093,176,3086,9.0,0,182.18653098839997,-1635.1097372664326,4287.708492268732,2653,2653
139.35941863059998,5.227327346801758,3096,171,3086,10.0,0,182.18653098839997,-6352.8649377423035,4287.708492268732,-2065,-2065
139.36437106132507,4.952430725097656,3095,167,3086,10.0,0,182.18653098839997,-6352.8649377423035,4287.708492268732,-2065,-2065
139.36912727355957,4.75621223449707,3094,162,3086,8.0,0,172.09326549419998,-3754.5362915434357,647.9439552580889,-3107,-3107
139.37433052062988,5.2032470703125,3098,158,3086,12.0,0,172.09326549419998,-8871.657947214077,647.9439552580889,-6839,-6839
139.3794367313385,5.106210708618164,3090,153,3086,4.0,0,172.09326549419998,1262.955693140963,647.9439552580889,1911,1911
139.38417196273804,4.735231399536133,3085,147,3086,4.0,0,172.09326549419998,1262.955693140963,647.9439552580889,1911,1911
139.38950443267822,5.332469940185547,3087,141,3086,1.0,0,172.09326549419998,711.398340338013,647.9439552580889,1359,1359
139.39457726478577,5.072832107543945,3085,137,3086,-1.0,0,154.54663274709998,1503.7051520421112,-707.2691179322346,796,796
139.39939260482788,4.815340042114258,3088,133,3086,-1.0,0,154.54663274709998,1503.7051520421112,-707.2691179322346,796,796
139.40420055389404,4.807949066162109,3086,130,3086,0.0,0,154.54663274709998,-481.49428543092336,-707.2691179322346,-1189,-1189
139.4094157218933,5.215167999267578,3086,127,3086,0.0,0,154.54663274709998,-0.0,-707.2691179322346,-707,-707
139.41408491134644,4.669189453125,3090,125,3086,0.0,0,154.54663274709998,-0.0,-707.2691179322346,-707,-707
139.41936421394348,5.279302597045898,3093,123,3086,7.0,0,154.54663274709998,-7206.534223908233,-707.2691179322346,-6839,-6839
139.42442893981934,5.064725875854492,3088,121,3086,2.0,0,137.77331637355,1103.4149037329944,-819.9605597004115,283,283
139.42936778068542,4.938840866088867,3089,119,3086,2.0,0,137.77331637355,1103.4149037329944,-819.9605597004115,283,283
139.43448901176453,5.1212310791015625,3085,116,3086,-1.0,0,137.77331637355,1947.1192402234635,-819.9605597004115,1127,1127
139.43930625915527,4.81724739074707,3080,114,3086,-1.0,0,137.77331637355,1947.1192402234635,-819.9605597004115,1127,1127
139.44448137283325,5.175113677978516,3085,112,3086,-1.0,0,137.77331637355,591.0,-819.9605597004115,-229,-229
139.44955158233643,5.070209503173828,3089,111,3086,3.0,0,124.386658186775,-3599.354511426691,-450.0004317183193,-4049,-4049
139.45441007614136,4.858493804931641,3084,111,3086,3.0,0,124.386658186775,-3599.354511426691,-450.0004317183193,-4049,-4049
139.45937943458557,4.969358444213867,3087,109,3086,1.0,0,124.386658186775,340.7098076092693,-450.0004317183193,-109,-109
139.4645185470581,5.13911247253418,3089,108,3086,3.0,0,124.386658186775,-2673.9337749942006,-450.0004317183193,-3124,-3124
139.46930694580078,4.788398742675781,3081,107,3086,3.0,0,124.386658186775,-2673.9337749942006,-450.0004317183193,-3124,-3124
139.47441864013672,5.1116943359375,3086,105,3086,0.0,0,124.386658186775,1358.649313432836,-450.0004317183193,909,909
139.47947192192078,5.053281784057617,3084,102,3086,-2.0,0,113.19332909338749,2098.2362594951637,-253.7943005227528,1844,1844
139.48415184020996,4.67991828918457,3080,101,3086,-2.0,0,113.19332909338749,2098.2362594951637,-253.7943005227528,1844,1844
139.48932266235352,5.1708221435546875,3086,100,3086,0.0,0,113.19332909338749,-895.40886757654,-253.7943005227528,-1149,-1149
139.4944417476654,5.119085311889648,3084,100,3086,-2.0,0,113.19332909338749,2086.4584565227515,-253.7943005227528,1833,1833
139.49914479255676,4.703044891357422,3080,100,3086,-2.0,0,113.19332909338749,2086.4584565227515,-253.7943005227528,1833,1833
139.50437831878662,5.233526229858398,3089,100,3086,3.0,0,113.19332909338749,-3984.701917908068,-253.7943005227528,-4238,-4238
139.50929975509644,4.921436309814453,3086,101,3086,3.0,0,107.09666454669375,-3984.701917908068,471.15111729917885,-3514,-3514
139.51413989067078,4.84013557434082,3087,101,3086,1.0,0,107.09666454669375,365.58477513422986,471.15111729917885,837,837
139.51925992965698,5.120038986206055,3084,99,3086,-2.0,0,107.09666454669375,2538.434983934808,471.15111729917885,3010,3010
139.52439761161804,5.13768196105957,3081,99,3086,-5.0,0,107.09666454669375,4306.776939997216,471.15111729917885,4778,4778
139.5293152332306,4.917621612548828,3080,99,3086,-5.0,0,107.09666454669375,4306.776939997216,471.15111729917885,4778,4778
