time,deltaTimeMs,angle,position,angleTarget,angleErr,positionTarget,positionErr,angleCmd,positionCmd,motorCmd,actualMotorCmd
315.81104588508606,5.170106887817383,3087,565,3086,1.0,473.93003831808744,93.20448092278404,-1486.5327424486973,-405.7369291545556,-1892,-1892
315.8158609867096,4.815101623535156,3093,565,3086,1.0,472.05941219457725,93.20448092278404,-1486.5327424486973,-405.7369291545556,-1892,-1892
315.82116532325745,5.3043365478515625,3092,565,3086,6.0,469.99753053926736,94.10347519175835,-5728.176770945703,1458.119448460367,-4270,-4270
315.82623839378357,5.073070526123047,3088,565,3086,2.0,468.024408693071,94.10347519175835,643.3245154619797,1458.119448460367,2101,2101
315.83093547821045,4.697084426879883,3081,564,3086,2.0,466.1965595061007,94.10347519175835,643.3245154619797,1458.119448460367,2101,2101
315.8362019062042,5.266427993774414,3089,562,3086,3.0,464.14608273216936,94.10347519175835,-2212.5768826112544,1458.119448460367,-754,-754
315.8412733078003,5.071401596069336,3090,562,3086,4.0,462.1705015849872,94.10347519175835,-2820.4813013022426,1458.119448460367,-1362,-1362
315.84604811668396,4.774808883666992,3087,562,3086,4.0,460.30955705898845,94.10347519175835,-2820.4813013022426,1458.119448460367,-1362,-1362
315.85114789009094,5.099773406982422,3088,562,3086,2.0,458.3210240905314,98.89122555061347,-274.11652547919584,2163.6946798849513,1890,1890
315.85636591911316,5.218029022216797,3090,561,3086,4.0,456.285412038431,98.89122555061347,-3251.3082116421456,2163.6946798849513,-1088,-1088
315.8611204624176,4.754543304443359,3095,561,3086,4.0,454.42978700164974,98.89122555061347,-3251.3082116421456,2163.6946798849513,-1088,-1088
315.8662106990814,5.090236663818359,3087,561,3086,1.0,452.4423054319263,98.89122555061347,773.3766407494145,2163.6946798849513,2937,2937
315.87107491493225,4.864215850830078,3088,561,3086,1.0,450.54229001059446,98.89122555061347,773.3766407494145,2163.6946798849513,2937,2937
315.8760380744934,4.963159561157227,3096,562,3086,10.0,448.6028659715223,98.89122555061347,-10107.930722006053,2163.6946798849513,-6839,-6839
315.88106870651245,5.030632019042969,3096,564,3086,10.0,446.63632262184586,108.1274514643838,-5910.0,3037.6619325807733,-2872,-2872
315.8858587741852,4.790067672729492,3093,564,3086,10.0,444.7631420939493,108.1274514643838,-5910.0,3037.6619325807733,-2872,-2872
315.89088916778564,5.030393600463867,3129,562,3086,43.0,442.79529932668606,108.1274514643838,-40599.684396416895,3037.6619325807733,-6839,-6839
315.8959755897522,5.086421966552734,3099,560,3086,13.0,440.80485969846467,108.1274514643838,5970.9989125339835,3037.6619325807733,6839,6839
315.9009563922882,4.980802536010742,3095,557,3086,13.0,438.8551202291244,108.1274514643838,5970.9989125339835,3037.6619325807733,6839,6839
315.90607476234436,5.118370056152344,3088,555,3086,2.0,436.8509106586642,113.1382704028598,3793.216664803428,2396.4951889868003,6190,6190
315.9110929965973,5.0182342529296875,3086,556,3086,0.0,434.8853330932191,113.1382704028598,922.6352869631319,2396.4951889868003,3319,3319
315.91584181785583,4.748821258544922,3090,559,3086,0.0,433.0247815688093,113.1382704028598,922.6352869631319,2396.4951889868003,3319,3319
315.92120909690857,5.367279052734375,3091,563,3086,5.0,430.9213713658791,113.1382704028598,-5111.586211798152,2396.4951889868003,-2715,-2715
315.9262475967407,5.03849983215332,3097,567,3086,11.0,428.94630740836556,113.1382704028598,-9257.772940898121,2396.4951889868003,-6839,-6839
315.93109488487244,4.847288131713867,3108,570,3086,11.0,427.04576919484015,128.04625060400983,-9257.772940898121,4345.337431301626,-4912,-4912
315.9363293647766,5.234479904174805,3106,571,3086,20.0,424.99298036907146,128.04625060400983,-15800.338138920519,4345.337431301626,-6839,-6839
315.94138860702515,5.059242248535156,3150,571,3086,64.0,423.00851210814756,128.04625060400983,-57957.449832233746,4345.337431301626,-6839,-6839
315.94618368148804,4.795074462890625,3102,569,3086,64.0,421.1273268188381,128.04625060400983,-57957.449832233746,4345.337431301626,-6839,-6839
315.95116329193115,4.979610443115234,3108,566,3086,22.0,419.17342827138475,128.04625060400983,6523.623763286414,4345.337431301626,6839,6839
315.9558837413788,4.720449447631836,3099,561,3086,22.0,417.3209480107612,128.04625060400983,6523.623763286414,4345.337431301626,6839,6839
315.9612126350403,5.328893661499023,3095,557,3086,9.0,415.22940679763116,134.90842190318932,328.5137076640867,2957.533037910903,3286,3286
315.9662592411041,5.046606063842773,3092,556,3086,6.0,413.24841429887834,134.90842190318932,-2169.827595785893,2957.533037910903,788,788
315.97087264060974,4.613399505615234,3098,556,3086,6.0,411.43728962988905,134.90842190318932,-2169.827595785893,2957.533037910903,788,788
315.9762268066406,5.354166030883789,3096,556,3086,10.0,409.33516877165437,134.90842190318932,-7639.494368793695,2957.533037910903,-4682,-4682
315.9813759326935,5.149126052856445,3143,557,3086,57.0,407.31339332890747,134.90842190318932,-54817.77032550817,2957.533037910903,-6839,-6839
315.9861464500427,4.770517349243164,3103,556,3086,57.0,405.4401690046459,134.90842190318932,-54817.77032550817,2957.533037910903,-6839,-6839
315.991259098053,5.112648010253906,3112,553,3086,26.0,403.4325172055722,142.23795234880856,-1329.2425592240252,3181.225543801597,1852,1852
315.9964122772217,5.153179168701172,3103,548,3086,17.0,401.40889357600906,142.23795234880856,-6003.864817248081,3181.225543801597,-2823,-2823
316.0011694431305,4.757165908813477,3111,544,3086,17.0,399.5407608211284,142.23795234880856,-6003.864817248081,3181.225543801597,-2823,-2823
316.0061364173889,4.966974258422852,3107,540,3086,21.0,397.59024385540107,142.23795234880856,-14275.314070945135,3181.225543801597,-6839,-6839
316.01095175743103,4.815340042114258,3100,536,3086,21.0,395.6993079458871,142.23795234880856,-14275.314070945135,3181.225543801597,-6839,-6839
316.0158500671387,4.898309707641602,3099,530,3086,13.0,393.77585394991996,142.23795234880856,-3902.103914334388,3181.225543801597,-721,-721
316.0209996700287,5.149602890014648,3098,523,3086,12.0,391.75382273314546,136.74206480783155,-6642.450772720959,1028.5756210354566,-5614,-5614
316.0262038707733,5.204200744628906,3102,516,3086,16.0,389.71049040988896,136.74206480783155,-11235.331823346161,1028.5756210354566,-6839,-6839
316.03109216690063,4.888296127319336,3101,508,3086,16.0,387.7913480783643,136.74206480783155,-11235.331823346161,1028.5756210354566,-6839,-6839
316.036025762558,4.933595657348633,3098,498,3086,12.0,385.85460372856187,136.74206480783155,-5215.072776301165,1028.5756210354566,-4186,-4186
316.04090881347656,4.883050918579102,3093,487,3086,12.0,383.93791037812997,136.74206480783155,-5215.072776301165,1028.5756210354566,-4186,-4186
316.04594564437866,5.036830902099609,3090,476,3086,4.0,381.96110319795173,136.74206480783155,1312.9151793997917,1028.5756210354566,2341,2341
316.0512812137604,5.335569381713867,3088,465,3086,2.0,379.86735857256014,110.93735311763571,-314.238816747844,-2461.052333740794,-2775,-2775
316.056072473526,4.791259765625,3086,453,3086,2.0,377.987508112544,110.93735311763571,-314.238816747844,-2461.052333740794,-2775,-2775
316.06115555763245,5.0830841064453125,3083,442,3086,-3.0,375.99350174622356,110.93735311763571,4050.1608255159476,-2461.052333740794,1589,1589
316.0663344860077,5.178928375244141,3089,431,3086,3.0,373.9622910342343,110.93735311763571,-4455.022031120523,-2461.052333740794,-6839,-6839
316.0710418224335,4.70733642578125,3086,422,3086,3.0,372.1164147186423,110.93735311763571,-4455.022031120523,-2461.052333740794,-6839,-6839
316.0762679576874,5.22613525390625,3079,412,3086,-7.0,370.0675506304117,110.93735311763571,8566.659562043795,-2461.052333740794,6106,6106
316.08142852783203,5.16057014465332,3078,400,3086,-8.0,368.04488551416193,71.4462338017369,5176.593844305844,-5351.30461221139,-175,-175
316.0859477519989,4.519224166870117,3081,390,3086,-8.0,366.2740234355346,71.4462338017369,5176.593844305844,-5351.30461221139,-175,-175
316.09123706817627,5.289316177368164,3079,381,3086,-7.0,364.2019413719777,71.4462338017369,3699.3252756366915,-5351.30461221139,-1652,-1652
316.09606647491455,4.82940673828125,3072,373,3086,-7.0,362.3105668153551,71.4462338017369,3699.3252756366915,-5351.30461221139,-1652,-1652
316.10083174705505,4.76527214050293,3069,365,3086,-17.0,360.4448411047907,71.4462338017369,14905.064622004302,-5351.30461221139,6839,6839
316.1061065196991,5.274772644042969,3072,357,3086,-14.0,358.3802801124929,71.4462338017369,6957.355574037245,-5351.30461221139,1606,1606
316.1111629009247,5.0563812255859375,3068,351,3086,-18.0,356.40186824151886,33.02218278010902,12469.349256884194,-5844.959586488736,6624,6624
