epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 11s,3816648,5e-05,0.14524056271808902,0.027308928469816845,1,0.02392858053956713,0.05481742835304393,0.0,0.0
1,0m 22s,3816648,5e-05,0.037307963138673364,0.06594176590442657,-1.4146595856849022,0.0987375123160226,0.054640778289208436,0.0,0.0
2,0m 34s,3816648,5e-05,0.027223965016807,0.029721349477767944,0.549278836104497,0.047443470784596035,0.054577520242574895,0.0,0.0
3,0m 45s,3816648,5e-05,0.021353298571051622,0.019107572734355927,0.357109516556484,0.031459621020725796,0.05455678420239218,0.0,0.0
4,0m 56s,3816648,5e-05,0.01809579570118974,0.015229713171720505,0.20294883167776337,0.024085057633263723,0.054520824233973975,0.0,0.0
5,1m 7s,3816648,5e-05,0.016002698642451588,0.013918017347653707,0.08612741482895667,0.02150821260043553,0.05449825082314208,0.0,0.0
epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 11s,3816648,5e-05,0.14523969045499477,0.027036902805169422,1,0.02384398238999503,0.05481821579760782,0.0,0.0
1,0m 22s,3816648,5e-05,0.03731010890588528,0.06561870376269023,-1.4270052023171833,0.09880830560411726,0.054641565733772324,0.0,0.0
2,0m 34s,3816648,5e-05,0.027228271088949065,0.029477464656035107,0.5507764864932377,0.04747215339115688,0.05457069572302109,0.0,0.0
3,0m 45s,3816648,5e-05,0.021356082544094178,0.018927546838919323,0.35789773442933576,0.03144386410713196,0.054552059535008746,0.0,0.0
4,0m 57s,3816648,5e-05,0.018096567654028173,0.015112737814585367,0.20154799017534825,0.024067785058702742,0.05451242482529228,0.0,0.0
5,1m 8s,3816648,5e-05,0.01600321327767721,0.013842654724915823,0.08404056930331855,0.021506241389683316,0.05449352615575864,0.0,0.0
6,1m 20s,3816648,5e-05,0.014510580679265464,0.013184332599242529,0.04755750531640146,0.020409381815365384,0.054449691741701334,0.0,0.0
7,1m 31s,3816648,5e-05,0.01337524885084571,0.012758040179808935,0.03233325738900771,0.019225329160690308,0.05443709262867891,0.0,0.0
8,1m 43s,3816648,5e-05,0.012408510940830881,0.012530570228894552,0.0178295371160831,0.018270228590284075,0.05442265614500741,0.0,0.0
9,1m 54s,3816648,5e-05,0.011703010012463825,0.012267852822939554,0.020966117355871908,0.017984366842678616,0.05440349499395247,0.0,0.0
epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 11s,3816648,0.0001,0.22678070533566358,0.08760317166646321,1,0.11405306203024727,0.05448276441338529,0.0,0.0
1,0m 22s,3816648,0.0001,0.09756632549006765,0.11535112063090007,-0.3167459400908826,0.08021605014801025,0.05446019100255339,0.0,0.0
2,0m 34s,3816648,0.0001,0.08081889152526855,0.12767351667086282,-0.10682510904590077,0.07715503658567156,0.054391683325493934,0.0,0.0
3,0m 45s,3816648,0.0001,0.07144929723041814,0.12472199400266011,0.023117736122297155,0.07659402915409633,0.0542761914561215,0.0,0.0
epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 2s,3816648,0.0001,0.26078622991388495,0.1372257669766744,1,0.13314910445894515,0.05449326367423735,0.0,0.0
1,0m 4s,3816648,0.0001,0.11863729303533381,0.08285321295261383,0.3962270003803499,0.09883001020976476,0.05398326207834969,0.0,0.0
2,0m 6s,3816648,0.0001,0.09141758427475438,0.07602645953496297,0.08239575961351411,0.07901452268872942,0.05393785277516461,0.0,0.0
3,0m 8s,3816648,0.0001,0.07934297503847064,0.07835621138413747,-0.0306439608450147,0.07333201169967651,0.053838109797070266,0.0,0.0
4,0m 11s,3816648,0.0001,0.07240474585330847,0.0694986879825592,0.11304175182940751,0.07973602839878627,0.05389900551001214,0.0,0.0
5,0m 13s,3816648,0.0001,0.06662458362001361,0.06550515194733937,0.05746203491240031,0.07897847039358956,0.05385622102204002,0.0,0.0
6,0m 15s,3816648,0.0001,0.06281101342403528,0.06229790051778158,0.04896181955483675,0.07990717887878418,0.053844671835102775,0.0,0.0
7,0m 17s,3816648,0.0001,0.05980837272875237,0.06188890834649404,0.006565103605229822,0.076918397630964,0.05382341083187747,0.0,0.0
8,0m 19s,3816648,0.0001,0.05715681133848248,0.0632905662059784,-0.022647965474475125,0.07362856183733259,0.053814748941674484,0.0,0.0
9,0m 21s,3816648,0.0001,0.054519693779222896,0.06138155857721964,0.03016259362486833,0.07362014906747001,0.05378351364063971,0.0,0.0
epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 11s,3816648,0.0001,0.14690811527885406,0.07266143490286435,1,0.08542580981003611,0.05429535260717644,0.0,0.0
1,0m 22s,3816648,0.0001,0.06688541922009425,0.06914898227242862,0.04833998441031706,0.07658315959729646,0.05432448805604084,0.0,0.0
2,0m 33s,3816648,0.0001,0.05445447527927908,0.05551297875011668,0.1971974579262744,0.1016631942046316,0.054146263103077574,0.0,0.0
3,0m 44s,3816648,0.0001,0.048903083029063606,0.05921429045060102,-0.06667470893870123,0.08363533647436845,0.05413786369439588,0.0,0.0
4,0m 55s,3816648,0.0001,0.04514633595702137,0.06594380210427676,-0.11364674983802736,0.07503244123960796,0.0539018928067464,0.0,0.0
