epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 37s,60476,0.0001,0.5484339599609375,0.40618830256991917,1,0.5228584189164011,0.019031954887218094,0.0,0.0
epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 52s,60476,0.0001,2166.92475,2201.4055989583335,1,2165.8425164473683,0.01916621911922667,0.0,0.0
1,1m 46s,60476,0.0001,2165.80125,2197.3585069444443,0.0018384127013232612,2161.5620888157896,0.01800819011815258,0.0,0.0
2,2m 40s,60476,0.0001,2161.04075,2191.0182291666665,0.0028854088933327297,2153.755550986842,0.016162056928034407,0.0,0.0
3,3m 24s,60476,0.0001,2153.9215,2184.3626302083335,0.0030376739315694447,2145.2448601973683,0.01611170784103111,0.0,0.0
4,4m 4s,60476,0.0001,2146.174,2174.8098958333335,0.004373236496034044,2136.6208881578946,0.01468515037593987,0.0,0.0
5,4m 48s,60476,0.0001,2138.001,2165.9798177083335,0.004060160909658051,2127.6996299342104,0.01443340494092371,0.0,0.0
6,5m 30s,60476,0.0001,2129.2095,2158.3259548611113,0.003533672282930212,2118.0224095394738,0.01448375402792701,0.0,0.0
7,6m 8s,60476,0.0001,2119.6195,2146.6243489583335,0.005421612002775933,2107.5254934210525,0.014601235230934484,0.0,0.0
8,6m 48s,60476,0.0001,2109.1495,2135.287543402778,0.005281224710349033,2095.8604029605262,0.014332706766917336,0.0,0.0
9,7m 28s,60476,0.0001,2097.7845,2122.1178385416665,0.00616764936497694,2083.4192023026317,0.014064178302900077,0.0,0.0
